título: placa quadrados quadrático
coordenadas dos nós
285
27      1     8    269     285     256      25     276     260    106     111
28      1     8    269      25      23     268     111     110    104     277
29      1     8      6       5      22      26      77     102    112     113
30      1     8     27       3       1       7     114     115     79     116
31      1     8     27       7       6      26     116      84    113     117
32      1     8     28      20     257     258     118     107    261     119
33      1     8     28     258     283     238     119     262    243     120
34      1     8     29      26      22      21     121     112    100     122
35      1     8     29      21      20      28     122     109    118     123
36      1     8     30      31      29      28     124     125    123     126
37      1     8     30      28     238     239     126     120    244     127
38      1     8     27      26      29      31     117     121    125     128
39      1     8     40      39      37      38     129     130    131     132
40      1     8     40      38      34      35     132     133    134     135
41      1     8    202     203      39      40     205     136    129     137
42      1     8    202      40      35     201     137     135    138     206
43      1     8     41     213     214      36     139     216    140     141
44      1     8     41      36      37      39     141     142    130     143
45      1     8    204     279     213      41     207     217    139     144
46      1     8    204      41      39     203     144     143    136     208
47      1     8     33      34      38      42     145     133    146     147
48      1     8     43       2       1      32     148      80    149     150
49      1     8     43      32      33      42     150     151    147     152
50      1     8     44      36     214     215     153     140    218     154
51      1     8     44     215     280     227     154     219    235     155
52      1     8     45      42      38      37     156     146    131     157
53      1     8     45      37      36      44     157     142    153     158
54      1     8     46      47      45      44     159     160    158     161
55      1     8     46      44     227     228     161     155    236     162
56      1     8     43      42      45      47     152     156    160     163
57      1     8     52      51      49      50     164     165    166     167
58      1     8     52      50     221     222     167     168    223     169
59      1     8    198     199      51      52     209     170    164     171
60      1     8    198      52     222     278     171     169    224     210
61      1     8     53      35      34      48     172     134    173     174
62      1     8     53      48      49      51     174     175    165     176
63      1     8    200     201      35      53     211     138    172     177
64      1     8    200      53      51     199     177     176    170     212
65      1     8     55      48      34      33     178     173    145     179
66      1     8     32       1       3      54     149     115    180     181
67      1     8     32      54      55      33     181     182    179     151
68      1     8     57     220     221      50     183     225    168     184
69      1     8     49      48      55      56     175     178    185     186
70      1     8     49      56      57      50     186     187    184     166
71      1     8    242     281     220      57     245     226    183     188
72      1     8     59     241     242      57     189     246    188     190
73      1     8     59      57      56      58     190     187    191     192
74      1     8     58      56      55      54     191     185    182     193
75      1     8      3     240     241      59     194     247    189     195
76      1     8      3      59      58      54     195     192    193     180
77      1     8     47      46     228     229     159     162    237     196
78      1     8    229       2      43      47      96     148    163     196
79      1     8     31      30     239     240     124     127    248     197
80      1     8    240       3      27      31     194     114    128     197
propriedades material
1 
  1  0  68.9e9  0.33  1000
Fontes/carregamentos distribuídos
0 
Condição fronteira essencial 
3
201   1     0
201   2     0
278   1     0
279   1     0
198   1     0
199   1     0
200   1     0
202   1     0
203   1     0
204   1     0
205   1     0
206   1     0
207   1     0
208   1     0
209   1     0
210   1     0
211   1     0
212   1     0
cargas pontuais impostas  
0
tensão imposta na fronteira
 8
   3     263     270    264    10.e6   0
   4     284     271    263    10.e6   0
   7     265     272    266    10.e6   0
   8     264     273    265    10.e6   0
  23     267     274    268    10.e6   0
  24     266     275    267    10.e6   0
  27     269     276    285    10.e6   0
  28     268     277    269    10.e6   0
